Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.849,172.925,,
United Kingdom,984.036,989.236,1050.8,981.098,1124.791,1054.213,1038.807,1007.429,1036.351,951.114,959.049,1002.502,1082.605,1015.909,940.351,864.269,794.148,887.631,891.73,920.115,704.862
United States,9071,9328,9140,9665,10088,10126,10118,10031,9783,9013,9213,8935,8527,7730,7344,7363,7850,7968.959,7768.468,6800.91,5876.525
Uruguay,34.689,34.927,21.344,32.85,43.98,40.533,36.941,30.642,40.044,37.417,38.627,22.87,40.264,37.486,37.171,39.594,41.367,10.56,41.48,,
Uzbekistan,0,0,0,3.748,5.225,0.2,0.5,6.4,6.183,8.96,12.32,21.24,14.76,15.74,12.54,16.16,21.581,21.74,24.04,,
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Venezuela,0.875,0.077,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Vietnam,4.042,1.387,1.676,0.001,1.388,0.01,1.089,0.781,0.001,0.057,9.88,12.632,14.58,26.348,14.138,3.655,8.676,23.62,103.54,,
Wake Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Yemen,16.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Zambia,0.56,4.52,6.6,8.3,9.56,8.08,7.9,8.88,9.58,11.74,12.5,11.54,12.86,12.12,11.2,12.86,9.654,10.4,12.36,,
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
